Date,MSCI Europe
12/1969,10000
01/1970,9912.999999999998
02/1970,9604.6
03/1970,9725.599999999999
04/1970,9009.699999999999
05/1970,8527.9
06/1970,8627.6
07/1970,9036.5
08/1970,9103.3
09/1970,9201.2
10/1970,9152.5
11/1970,8732.1
12/1970,8935.599999999999
01/1971,9256.363743169397
02/1971,9268.248346994536
03/1971,9571.74962295082
04/1971,9975.061224043717
05/1971,10021.452540983608
06/1971,9986.262918032788
07/1971,10344.466775956285
08/1971,10138.409866120219
09/1971,9764.511901639346
10/1971,9352.529185792348
11/1971,9625.706601092894
12/1971,10081.657967213117
01/1972,10554.617349726776
02/1972,10973.601256830601
03/1972,11238.51768852459
04/1972,11463.001836065572
05/1972,11661.429174863388
06/1972,11035.731672131147
07/1972,11585.797999999999
08/1972,11751.394098360655
09/1972,11082.063592896175
10/1972,11107.969683060108
11/1972,11394.750043715849
12/1972,11286.08307103825
01/1973,11326.424590163931
02/1973,11390.927117486339
03/1973,10960.33480874317
04/1973,11109.249836065575
05/1973,11086.430852459018
06/1973,10639.440382513661
07/1973,9119.846120218577
08/1973,9073.598114754097
09/1973,9256.076114754098
10/1973,9456.684087431693
11/1973,8580.958628415301
12/1973,8554.381106557377
01/1974,9046.777650273225
02/1974,8992.297923497268
03/1974,8319.867016393442
04/1974,8372.282344262294
05/1974,7524.559693989071
06/1974,7320.541112021858
07/1974,7319.351890710383
08/1974,6733.365836065573
09/1974,6177.518770491803
10/1974,6283.85624043716
11/1974,6093.222786885245
12/1974,5988.5064207650275
01/1975,7137.087278688525
02/1975,7946.410680327868
03/1975,7671.05306557377
04/1975,8421.626786885245
05/1975,8202.217459016392
06/1975,7645.441489071038
07/1975,7770.966450819672
08/1975,8261.32631693989
09/1975,7993.083153005466
10/1975,8514.037478142076
11/1975,8763.744131147541
12/1975,9063.417467213116
01/1976,9389.052049180327
02/1976,9061.566295081966
03/1976,8813.184699453552
04/1976,8632.181803278689
05/1976,8311.47557377049
06/1976,8344.5506147541
07/1976,8183.8853142076505
08/1976,7872.204377049182
09/1976,7542.733453551911
10/1976,6818.980639344262
11/1976,7074.968743169398
12/1976,7595.773133879783
01/1977,7680.9356065573775
02/1977,7790.162978142076
03/1977,7805.829540983606
04/1977,8036.551398907102
05/1977,7930.337158469946
06/1977,8019.852590163936
07/1977,7652.743114754098
08/1977,8118.670278688525
09/1977,8495.393754098359
10/1977,8538.88719125683
11/1977,8260.284114754098
12/1977,8357.399016393441
01/1978,8218.418688524589
02/1978,8043.764459016393
03/1978,8144.600360655739
04/1978,8059.679352459016
05/1978,8512.146885245902
06/1978,8489.39606557377
07/1978,9006.718166666664
08/1978,9053.885109289617
09/1978,9295.650972677597
10/1978,9087.415188524588
11/1978,8587.525377049182
12/1978,8902.034295081967
01/1979,9066.917900136741
02/1979,9274.050786925267
03/1979,9866.001974337954
04/1979,10110.549302997902
05/1979,9707.611987494465
06/1979,9873.958919348868
07/1979,9661.685143629904
08/1979,9982.637247805178
09/1979,10372.949712217165
10/1979,9480.097357430046
11/1979,9831.080235760579
12/1979,9633.207015548196
01/1980,10008.090499554246
02/1980,10221.322562287858
03/1980,9222.850587960676
04/1980,10275.639079945064
05/1980,10086.83195547946
06/1980,10644.707996243216
07/1980,10666.38729115514
08/1980,10966.828501084578
09/1980,11115.176944768098
10/1980,11790.53867432873
11/1980,12045.522195659467
12/1980,11916.928060054772
01/1981,11485.022264954405
02/1981,12146.630870028948
03/1981,12384.258364749337
04/1981,12576.91188264556
05/1981,12270.614249173514
06/1981,12433.84974351852
07/1981,12446.184751261246
08/1981,13140.430156785395
09/1981,11359.962701795395
10/1981,11453.891046278139
11/1981,12709.97183036182
12/1981,12449.286031691467
01/1982,12821.12622730059
02/1982,12730.148365313722
03/1982,12920.75611229508
04/1982,13516.432923962991
05/1982,13039.6731818424
06/1982,12677.12374142696
07/1982,13216.503916272242
08/1982,13373.056045149237
09/1982,13801.28640831599
10/1982,14133.664505740522
11/1982,14596.593197608167
12/1982,14697.290298744805
01/1983,14617.191246259908
02/1983,15460.995557064294
03/1983,16319.563061979681
04/1983,17904.2452595153
05/1983,17828.620743106996
06/1983,18701.160545823903
07/1983,18692.51369249582
08/1983,18879.288071185696
09/1983,19218.710175152708
10/1983,18888.70995788248
11/1983,19964.527297937308
12/1983,20623.63126207384
01/1984,21934.639883189582
02/1984,21859.963292444554
03/1984,21635.66915577771
04/1984,21721.919810550437
05/1984,20885.848651658947
06/1984,20845.01879689787
07/1984,20210.199735288163
08/1984,22168.630558168545
09/1984,22869.23435232638
10/1984,23339.412345923472
11/1984,22664.49043955822
12/1984,23728.79973915213
01/1985,25429.37693973816
02/1985,25279.796849189046
03/1985,28264.39173733101
04/1985,27067.50563396492
05/1985,28679.65801828727
06/1985,28514.035746623
07/1985,29681.102128000355
08/1985,30133.479351999704
09/1985,31126.97620284509
10/1985,32459.75748318113
11/1985,34324.60898419492
12/1985,34978.996583813845
01/1986,34913.60831110208
02/1986,37528.43603720417
03/1986,39484.24336878028
04/1986,43385.338446717426
05/1986,38866.24786012433
06/1986,40727.761778766944
07/1986,39200.42155033308
08/1986,42277.89905540855
09/1986,39294.366454438845
10/1986,39100.39937841543
11/1986,41622.25231296571
12/1986,42068.69081309779
01/1987,41296.3612263086
02/1987,42021.712452955486
03/1987,44031.563977583704
04/1987,45164.75310183627
05/1987,44375.73361859617
06/1987,46465.13482711703
07/1987,48728.2417565457
08/1987,49521.888885633976
09/1987,48552.2212123759
10/1987,39042.0436282736
11/1987,35072.22832446084
12/1987,35989.19485326353
01/1988,34878.90160804471
02/1988,38002.40510503362
03/1988,38523.00583533721
04/1988,39008.80980940162
05/1988,38660.53599396304
06/1988,39695.3231961566
07/1988,41791.99220479516
08/1988,40792.435007003674
09/1988,42700.27518678516
10/1988,45505.98143234896
11/1988,44244.97601631601
12/1988,44528.61946060674
01/1989,47974.74893480325
02/1989,48020.24701771488
03/1989,48692.84532590639
04/1989,50323.48582266321
05/1989,49798.76450954271
06/1989,52787.481523656796
07/1989,56429.84039471125
08/1989,56588.20580926232
09/1989,58445.2339482313
10/1989,52558.907742719544
11/1989,54682.725051773385
12/1989,58076.62333985839
01/1990,56225.11424443438
02/1990,54152.60670481307
03/1990,55880.23059678538
04/1990,53700.30362862256
05/1990,57125.51144414673
06/1990,59532.6769881487
07/1990,60170.30505022803
08/1990,51817.839931618684
09/1990,45791.47890002685
10/1990,48196.84947347288
11/1990,47716.68727901147
12/1990,47582.48327683444
01/1991,49305.96422375573
02/1991,52728.09886016545
03/1991,53544.08185116182
04/1991,55805.55350343074
05/1991,58221.92581501649
06/1991,55323.162740149426
07/1991,59233.63156576243
08/1991,58987.04990261692
09/1991,59079.53724447164
10/1991,57761.31922057308
11/1991,54294.074167816354
12/1991,56677.64989150152
01/1992,57060.24413887396
02/1992,58547.408809603316
03/1992,58007.72990186312
04/1992,60656.48351614857
05/1992,62884.2665689862
06/1992,59946.362945914465
07/1992,55054.86723899206
08/1992,53491.63698367778
09/1992,53822.23673844681
10/1992,52149.496774322
11/1992,55538.835934752395
12/1992,56776.19158935697
01/1993,57982.280130454514
02/1993,60106.84722361957
03/1993,63510.04492511917
