Entity,Code,Year,CO₂ emissions per capita
Austria,AUT,1996,8.467657
Austria,AUT,1997,8.444986
Austria,AUT,1998,8.389697
Austria,AUT,1999,8.214732
Austria,AUT,2000,8.262151
Austria,AUT,2001,8.727766
Austria,AUT,2002,8.907645
Austria,AUT,2003,9.530433
Austria,AUT,2004,9.508284
Austria,AUT,2005,9.611559
Austria,AUT,2006,9.28623
Austria,AUT,2007,8.93005
Austria,AUT,2008,8.826658
Austria,AUT,2009,8.06485
Austria,AUT,2010,8.607232
Austria,AUT,2011,8.327111
Austria,AUT,2012,7.977175
Austria,AUT,2013,7.989103
Austria,AUT,2014,7.5058665
Austria,AUT,2015,7.6767116
Austria,AUT,2016,7.692762
Austria,AUT,2017,7.9103565
Austria,AUT,2018,7.5287404
Austria,AUT,2019,7.651411
Austria,AUT,2020,6.969737
Austria,AUT,2021,7.3325477
Austria,AUT,2022,6.779517
Austria,AUT,2023,6.2328863
Austria,AUT,2024,6.180112
Belgium,BEL,1996,12.750186
Belgium,BEL,1997,12.180701
Belgium,BEL,1998,12.766186
Belgium,BEL,1999,12.195414
Belgium,BEL,2000,12.366287
Belgium,BEL,2001,12.256729
Belgium,BEL,2002,12.27944
Belgium,BEL,2003,12.363994
Belgium,BEL,2004,12.360431
Belgium,BEL,2005,11.991515
Belgium,BEL,2006,11.7458515
Belgium,BEL,2007,11.3400345
Belgium,BEL,2008,11.2238655
Belgium,BEL,2009,9.970168
Belgium,BEL,2010,10.475143
Belgium,BEL,2011,9.526456
Belgium,BEL,2012,9.226742
Belgium,BEL,2013,9.212671
Belgium,BEL,2014,8.660123
Belgium,BEL,2015,8.986653
Belgium,BEL,2016,8.807806
Belgium,BEL,2017,8.726891
Belgium,BEL,2018,8.772404
Belgium,BEL,2019,8.685232
Belgium,BEL,2020,7.9076037
Belgium,BEL,2021,8.204076
Belgium,BEL,2022,7.6375527
Belgium,BEL,2023,7.2316356
Belgium,BEL,2024,7.2798314
Croatia,HRV,1996,3.8003798
Croatia,HRV,1997,4.1222434
Croatia,HRV,1998,4.2828264
Croatia,HRV,1999,4.578895
Croatia,HRV,2000,4.542812
Croatia,HRV,2001,4.8304005
Croatia,HRV,2002,5.0897875
Croatia,HRV,2003,5.3930573
Croatia,HRV,2004,5.302187
Croatia,HRV,2005,5.4000564
Croatia,HRV,2006,5.4442253
Croatia,HRV,2007,5.7465234
Croatia,HRV,2008,5.4502077
Croatia,HRV,2009,5.046313
Croatia,HRV,2010,4.8773313
Croatia,HRV,2011,4.8155785
Croatia,HRV,2012,4.472641
Croatia,HRV,2013,4.337481
Croatia,HRV,2014,4.18296
Croatia,HRV,2015,4.2531147
Croatia,HRV,2016,4.370736
Croatia,HRV,2017,4.5874524
Croatia,HRV,2018,4.396296
Croatia,HRV,2019,4.470374
Croatia,HRV,2020,4.2666397
Croatia,HRV,2021,4.4343224
Croatia,HRV,2022,4.500902
Croatia,HRV,2023,4.740115
Croatia,HRV,2024,4.764723
Cyprus,CYP,1996,7.060902
Cyprus,CYP,1997,7.021577
Cyprus,CYP,1998,7.2132015
Cyprus,CYP,1999,7.370247
Cyprus,CYP,2000,7.4993653
Cyprus,CYP,2001,7.2393413
Cyprus,CYP,2002,7.3075433
Cyprus,CYP,2003,7.5637994
Cyprus,CYP,2004,7.650352
Cyprus,CYP,2005,7.6742024
Cyprus,CYP,2006,7.7607594
Cyprus,CYP,2007,7.9004884
Cyprus,CYP,2008,7.9664574
Cyprus,CYP,2009,7.60606
Cyprus,CYP,2010,7.156974
Cyprus,CYP,2011,6.7966948
Cyprus,CYP,2012,6.231036
Cyprus,CYP,2013,5.5563617
Cyprus,CYP,2014,5.766146
Cyprus,CYP,2015,5.7010694
Cyprus,CYP,2016,5.9411874
Cyprus,CYP,2017,5.955064
Cyprus,CYP,2018,5.763717
Cyprus,CYP,2019,5.692592
Cyprus,CYP,2020,5.300958
Cyprus,CYP,2021,5.2764926
Cyprus,CYP,2022,5.3108797
Cyprus,CYP,2023,5.3443794
Cyprus,CYP,2024,5.373922
Estonia,EST,1996,13.266521
Estonia,EST,1997,13.136339
Estonia,EST,1998,11.999038
Estonia,EST,1999,11.349218
Estonia,EST,2000,11.074418
Estonia,EST,2001,11.432236
Estonia,EST,2002,11.133531
Estonia,EST,2003,12.58399
Estonia,EST,2004,12.711765
Estonia,EST,2005,12.613808
Estonia,EST,2006,12.204592
Estonia,EST,2007,14.865635
Estonia,EST,2008,13.323684
Estonia,EST,2009,10.794068
Estonia,EST,2010,14.243671
Estonia,EST,2011,14.274907
Estonia,EST,2012,13.429013
Estonia,EST,2013,14.897581
Estonia,EST,2014,14.290275
Estonia,EST,2015,12.003551
Estonia,EST,2016,13.248403
Estonia,EST,2017,14.13057
Estonia,EST,2018,13.465254
Estonia,EST,2019,9.261298
Estonia,EST,2020,6.917664
Estonia,EST,2021,7.8024516
Estonia,EST,2022,8.863261
Estonia,EST,2023,6.3957644
Estonia,EST,2024,6.105464
Finland,FIN,1996,12.4963045
Finland,FIN,1997,12.199201
Finland,FIN,1998,11.517897
Finland,FIN,1999,11.397506
Finland,FIN,2000,11.01523
Finland,FIN,2001,12.050957
Finland,FIN,2002,12.508105
Finland,FIN,2003,13.93796
Finland,FIN,2004,13.187464
Finland,FIN,2005,10.87746
Finland,FIN,2006,12.983438
Finland,FIN,2007,12.62386
Finland,FIN,2008,11.033468
Finland,FIN,2009,10.474345
Finland,FIN,2010,11.950002
Finland,FIN,2011,10.512902
Finland,FIN,2012,9.448505
Finland,FIN,2013,9.508818
Finland,FIN,2014,8.719286
Finland,FIN,2015,8.064647
Finland,FIN,2016,8.598358
Finland,FIN,2017,8.107076
Finland,FIN,2018,8.291922
Finland,FIN,2019,7.686688
Finland,FIN,2020,6.82145
Finland,FIN,2021,6.825398
Finland,FIN,2022,6.5245185
Finland,FIN,2023,5.6771917
Finland,FIN,2024,5.300579
France,FRA,1996,6.909002
France,FRA,1997,6.76169
France,FRA,1998,7.049427
France,FRA,1999,6.9912124
France,FRA,2000,6.849684
France,FRA,2001,6.8707247
France,FRA,2002,6.746978
France,FRA,2003,6.799168
France,FRA,2004,6.7686367
France,FRA,2005,6.756068
France,FRA,2006,6.5539103
France,FRA,2007,6.3502436
France,FRA,2008,6.2088747
France,FRA,2009,5.8853593
France,FRA,2010,5.945996
France,FRA,2011,5.572035
France,FRA,2012,5.59021
France,FRA,2013,5.591334
France,FRA,2014,5.067184
France,FRA,2015,5.116293
France,FRA,2016,5.1545954
France,FRA,2017,5.182955
France,FRA,2018,4.93138
France,FRA,2019,4.812466
France,FRA,2020,4.271517
France,FRA,2021,4.649748
France,FRA,2022,4.4555726
